

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	12	38	28
1	29	38	48
2	42	51	61
3	19	28	38
4	36	45	55
5	44	64	54
6	53	72	62
7	10	30	20
8	40	59	49
9	58	5139	5174
10	78	87	97
11	84	103	93
12	37	56	46
13	88	107	97
14	11	20	30
15	10	19	29
16	69	88	78
17	37	46	60
18	55	64	74
19	12	21	32
20	51	60	70
21	20	29	40
22	56	75	65
23	70	79	89
24	30	49	39
25	67	86	76
26	45	54	64
27	65	74	84
28	64	73	84
29	61	80	70
30	38	57	47
31	27	36	47
32	35	54	44
33	41	61	51
34	63	82	72
35	94	103	113
36	47	56	66
37	45	54	65
38	30	39	50
39	46	67	55
40	73	81	92
41	57	66	76
42	37	56	46
43	31	40	50
44	62	81	71
45	64	84	74
46	48	69	57
47	95	104	114
48	75	95	85
49	61	70	80
50	40	49	59
51	24	33	44
52	74	93	83
53	63	72	82
54	51	60	70
55	68	77	87
56	74	83	94
57	30	39	49
58	47	66	56
59	34	43	53
60	12	32	22
61	64	83	73
62	16	35	25
63	99	7	110
64	29	48	38
65	50	69	59
66	38	57	47
67	68	88	78
68	86	105	95
69	20	39	29
70	87	96	106
71	17	26	36
72	48	67	57
73	68	87	77
74	40	59	49
75	69	78	92
76	75	94	84
77	12	31	21
78	28	37	47
79	32	51	41
80	46	68	55
81	35	54	44
82	57	76	67
83	6	15	25
84	84	93	104
85	65	74	85
86	82	91	102
87	50	59	69
88	67	76	86
89	51	59	70
90	76	85	96
91	96	105	6
92	85	94	104
93	37	56	46
94	5	25	15
95	69	77	88
96	48	57	67
97	20	29	39
98	101	16	7
99	73	92	82
100	59	78	68
101	6	15	26
102	12	32	22
103	16	35	25
104	47	67	57
105	29	38	48
106	52	61	71
107	50	59	69
108	45	54	65
109	60	79	69
110	76	95	85
111	61	80	70
112	30	39	49
113	91	110	100
114	32	41	51
115	22	41	31
116	8	17	27
117	13	22	32
118	10	19	29
119	54	74	64
120	61	81	71
121	41	60	50
122	24	33	43
123	45	64	54
124	102	17	8
125	76	95	85
126	36	45	55
127	25	34	44
128	63	82	72
129	21	30	40
130	93	112	102
131	51	60	71
132	38	47	58
133	40	59	49
134	55	75	65
135	9	28	19
136	43	62	52
137	21	30	40
138	94	113	103
139	29	38	48
140	93	113	103
141	91	111	101
142	54	73	63
143	26	35	46
144	92	111	101
145	24	33	43
146	90	98	109
147	90	109	99
148	72	91	81
149	14	23	33
150	44	63	53
151	25	44	34
152	50	69	59
153	6	15	25
154	78	87	97
155	37	56	46
156	66	85	75
157	104	9	18
158	103	18	9
159	29	48	38
160	15	34	24
161	58	77	67
162	54	63	73
163	94	103	113
164	56	75	65
165	86	95	105
166	40	59	49
167	67	76	87
168	92	111	101
169	27	36	46
170	8	17	27
171	61	70	80
172	22	41	32
173	81	90	100
174	52	61	71
175	72	81	91
176	84	93	103
177	50	59	69
178	97	106	7
179	50	59	70
180	79	88	98
181	67	87	77
182	50	59	69
183	77	96	86
184	21	30	40
185	26	45	35
186	63	72	82
187	38	57	47
188	52	61	71
189	39	58	48
190	49	68	58
191	57	66	76
192	7	16	26
193	11	20	30
194	63	82	72
195	86	106	96
196	78	97	87
197	65	74	85
198	92	101	112
199	26	45	35
200	58	67	78
201	27	47	37
202	99	108	9
203	22	31	41
204	59	67	78
205	52	72	62
206	102	7	17
207	7	26	16
208	32	41	51
209	56	65	75
210	39	58	48
211	103	18	9
212	16	25	36
213	9	17	28
214	72	91	81
215	66	85	75
216	17	36	26
217	96	105	6
218	93	102	112
219	27	36	46
220	43	52	62
221	87	106	96
222	57	76	66
223	11	20	30
224	94	114	104
225	62	71	82
226	17	26	37
227	56	65	76
228	74	93	83
229	8	27	17
230	72	91	81
231	58	67	77
232	66	85	76
233	47	56	67
234	35	44	55
235	29	38	49
236	105	21	11
237	38	47	57
238	80	99	89
239	7	26	16
240	51	70	60
241	19	28	38
242	30	49	39
243	65	83	74
244	99	108	9
245	99	108	9
246	24	43	33
247	88	107	97
248	10	29	19
249	40	59	49
250	94	113	103
251	103	8	18
252	55	74	64
253	102	7	17
254	81	100	90
255	45	64	54
256	88	107	97
257	44	52	63
258	96	105	6
259	85	94	104
260	40	60	50
261	46	55	70
262	64	73	83
263	51	60	70
264	8	27	17
265	35	54	44
266	86	104	95
267	14	23	34
268	26	45	35
269	10	19	29
270	39	48	59
271	104	19	9
272	105	11	20
273	54	63	73
274	62	82	72
275	49	58	68
276	14	33	23
277	31	40	50
278	9	28	19
279	34	53	43
280	50	59	69
281	95	115	105
282	55	74	64
283	14	33	23
284	56	65	75
285	79	99	89
286	90	108	99
287	94	113	103
288	51	71	61
289	71	91	81
