

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	7	33	23
1	26	16	7
2	5	14	25
3	5	33	23
4	25	16	7
5	25	16	6
6	6	26	16
7	26	6	16
8	16	25	6
9	6	15	25
10	25	7	34
11	6	24	15
12	26	6	16
13	7	26	16
14	27	7	17
15	6	26	16
16	16	6	26
17	14	5	24
18	8	35	25
19	25	6	15
20	16	7	26
21	26	17	7
22	7	16	35
23	26	7	16
24	15	6	26
25	26	7	16
26	7	16	26
27	26	6	16
28	7	16	27
29	6	15	25
30	16	25	6
31	6	15	25
32	24	15	6
33	5	24	14
34	26	7	16
35	9	18	27
36	6	24	34
37	5	14	24
38	5	13	32
39	17	8	27
40	17	8	28
41	6	15	25
42	15	24	6
43	6	23	33
44	24	6	33
45	8	27	17
46	17	8	27
47	28	18	9
48	24	15	5
49	8	16	35
50	26	7	16
51	6	34	24
52	5	14	33
53	17	8	27
54	5	14	32
55	27	9	18
56	26	8	35
57	17	26	7
58	7	25	34
59	8	36	26
60	8	27	17
61	7	15	25
62	7	16	27
63	32	4	22
64	5	14	24
65	5	23	14
66	15	5	25
67	15	5	33
68	27	7	17
69	26	8	35
70	27	18	8
71	6	15	34
72	18	27	9
73	16	6	26
74	25	15	6
75	6	15	25
76	7	24	34
77	8	17	27
78	15	6	25
79	8	27	17
80	28	7	17
81	27	8	17
82	8	36	17
83	17	26	8
84	15	24	6
85	25	6	15
86	7	16	25
87	17	26	7
88	38	9	28
89	6	25	15
90	24	14	5
91	7	16	34
92	26	7	16
93	7	16	26
94	7	16	25
95	28	8	18
96	9	27	18
97	6	24	33
98	27	18	9
99	9	18	27
100	8	25	35
101	8	17	36
102	7	24	34
103	25	7	34
104	27	8	17
105	16	25	6
106	24	15	5
107	9	18	28
108	7	34	24
109	8	17	27
110	8	17	35
111	25	6	15
112	6	14	25
113	26	17	7
114	25	16	7
115	7	27	17
116	9	18	28
117	24	15	6
118	6	25	15
119	7	24	34
120	16	25	6
121	5	23	33
122	7	16	35
123	27	8	17
124	7	16	26
125	26	17	7
126	6	15	33
127	6	15	26
128	16	25	7
129	9	18	28
130	5	24	14
131	26	6	16
132	7	24	34
133	6	34	24
134	5	24	14
135	6	15	34
136	24	6	33
137	7	16	34
138	17	26	8
139	7	25	35
140	8	27	17
141	25	7	34
142	26	7	16
143	6	15	26
144	6	33	24
145	6	24	34
146	24	15	5
147	5	14	33
148	17	7	27
149	28	18	9
150	25	5	15
151	8	27	17
152	8	27	17
153	16	7	26
154	17	26	8
155	18	9	29
156	25	16	7
157	27	18	9
158	9	18	28
159	25	6	15
160	5	14	33
161	5	23	32
162	24	15	5
163	26	7	16
164	27	18	8
165	5	33	23
166	27	8	17
167	4	13	23
168	15	24	5
169	34	13	24
170	7	16	26
171	25	16	6
172	6	34	24
173	6	24	34
174	8	35	25
175	7	25	35
176	14	4	24
177	26	17	7
178	6	15	34
179	24	6	33
180	6	19	30
181	15	6	26
182	14	5	25
183	17	8	28
184	5	14	24
185	8	36	26
186	28	8	18
187	9	28	18
188	6	24	34
189	26	16	7
190	7	35	25
191	8	26	35
192	6	15	25
193	6	23	33
194	5	33	23
195	7	27	17
196	27	8	17
197	8	17	36
198	18	8	29
199	25	15	6
200	6	25	15
201	28	9	18
202	8	27	17
203	14	5	24
204	26	8	35
205	5	24	14
206	28	9	18
207	17	26	8
208	15	6	26
209	25	6	15
210	6	15	26
211	29	19	7
212	7	27	17
213	6	15	26
214	24	6	33
215	17	26	7
216	16	25	6
217	8	17	28
218	26	7	16
219	8	27	17
220	26	6	16
221	6	15	24
222	24	5	14
223	14	5	25
224	5	14	24
225	16	6	26
226	7	16	34
227	16	7	26
228	5	14	24
229	6	25	16
230	8	27	18
231	7	16	34
232	5	25	15
233	5	15	25
234	7	26	16
235	33	5	23
236	5	25	15
237	6	25	15
238	28	8	18
239	6	24	34
240	7	26	16
241	18	27	8
242	15	24	5
243	17	26	7
244	17	8	27
245	25	16	6
246	6	15	26
247	8	17	27
248	17	7	27
249	25	6	15
250	6	15	33
251	8	17	28
252	7	35	25
253	8	26	36
254	27	8	17
255	6	24	34
256	25	16	6
257	6	15	25
258	34	6	24
259	24	5	14
260	9	18	36
261	16	25	6
262	6	26	16
263	28	8	18
264	25	5	15
265	7	26	16
266	7	16	35
267	18	27	8
268	6	25	15
269	17	8	28
270	25	6	16
271	6	25	15
272	7	24	34
273	5	14	33
274	7	16	27
275	16	25	7
276	23	5	32
277	6	15	25
278	5	14	33
279	14	23	5
280	7	24	34
281	8	35	25
282	6	15	34
283	24	6	33
284	7	26	16
285	7	27	17
286	18	27	8
287	24	5	14
288	27	8	17
289	7	26	16
290	26	6	16
291	6	15	34
292	25	7	34
293	8	27	17
294	25	7	34
295	27	7	17
296	4	24	14
297	9	18	28
298	7	26	16
299	6	24	34
300	6	34	24
301	6	25	15
302	7	27	17
303	17	26	7
304	17	8	27
305	28	19	8
306	26	17	7
307	27	17	8
308	8	27	17
309	5	24	14
310	26	7	16
311	9	26	36
312	5	22	32
313	16	6	25
314	25	16	7
315	5	33	23
316	6	25	15
317	16	25	7
