

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	151	167	178
1	614	623	633
2	350	359	369
3	445	454	464
4	379	388	398
5	879	899	889
6	594	613	604
7	594	603	613
8	16	35	25
9	366	375	385
10	739	758	748
11	1012	7	17
12	559	578	568
13	596	605	615
14	58	77	67
15	753	772	762
16	411	420	430
17	396	416	406
18	599	608	619
19	465	484	474
20	509	528	518
21	857	876	866
22	343	362	352
23	524	533	543
24	373	382	392
25	701	710	721
26	722	731	741
27	416	425	436
28	399	408	418
29	516	525	535
30	897	906	916
31	77	86	96
32	699	708	719
33	487	496	506
34	956	975	965
35	914	923	933
36	801	820	810
37	722	742	732
38	660	669	679
39	924	933	944
40	296	305	315
41	235	254	244
42	976	985	995
43	189	198	209
44	256	265	275
45	290	309	299
46	17	26	36
47	691	710	700
48	743	751	762
49	959	968	978
50	905	914	927
51	287	296	306
52	53	72	62
53	153	172	162
54	873	882	892
55	334	353	343
56	766	785	775
57	905	924	915
58	297	317	307
59	545	554	564
60	624	643	633
61	508	517	528
62	616	635	625
63	616	635	625
64	374	393	383
65	387	406	396
66	638	658	648
67	260	268	279
68	301	320	310
69	24	43	33
70	659	678	668
71	670	689	679
72	548	567	557
73	327	336	347
74	380	389	399
75	78	87	97
76	659	668	678
77	467	486	476
78	157	166	176
79	950	958	969
80	525	544	534
81	792	812	802
82	871	890	881
83	641	660	650
84	174	193	183
85	148	157	167
86	574	583	593
87	949	968	958
88	118	127	138
89	388	407	397
90	950	959	969
91	678	687	697
92	625	644	634
93	23	32	42
94	477	486	496
95	191	201	211
96	402	421	411
97	819	827	838
98	451	460	471
99	846	855	865
100	48	57	68
101	969	988	978
102	997	1006	1017
103	62	81	71
104	639	658	648
105	733	752	742
106	744	753	763
107	1010	7	16
108	14	23	33
109	468	487	477
110	422	431	442
111	760	769	779
112	79	99	89
113	798	807	817
114	369	378	389
115	337	346	357
116	324	333	343
117	138	147	158
118	408	417	427
119	725	733	744
120	110	119	129
121	251	260	270
122	11	30	20
123	455	474	464
124	886	895	905
125	569	578	588
126	700	709	720
127	393	412	402
128	119	128	138
129	199	208	219
130	13	32	22
131	582	601	591
132	686	705	695
133	610	619	629
134	861	880	870
135	893	902	912
136	929	948	938
137	414	423	433
138	260	269	279
139	971	990	980
140	542	551	561
141	366	375	385
142	190	199	209
143	266	275	286
144	770	789	779
145	815	835	825
146	614	623	633
147	38	57	47
148	917	926	936
149	209	218	229
150	58	67	77
151	204	223	213
152	683	692	703
153	305	314	324
154	632	651	641
155	471	480	490
156	377	386	396
157	763	772	782
158	970	979	990
159	306	315	326
160	161	170	181
161	616	624	635
162	348	367	357
163	252	261	271
164	934	953	943
165	430	439	449
166	707	726	716
167	312	321	331
168	832	841	852
169	914	933	923
170	302	322	312
171	630	639	650
172	644	653	663
173	998	1007	1017
174	964	973	984
175	233	252	242
176	769	788	778
177	364	383	373
178	994	1013	1003
179	774	793	783
180	739	758	748
181	273	292	282
182	57	66	76
183	159	178	168
184	1009	1018	9
185	931	940	950
186	918	927	938
187	286	306	296
188	499	518	508
189	7	27	17
190	329	348	338
191	349	369	359
192	693	702	712
193	289	298	309
194	195	214	204
195	938	946	957
196	321	330	340
197	484	493	504
198	507	515	526
199	614	623	634
200	451	460	470
201	967	976	986
202	332	341	352
203	642	651	661
204	692	701	712
205	162	171	182
206	160	179	169
207	472	481	491
208	724	733	743
209	365	374	385
210	997	1016	1006
211	201	210	220
212	656	675	665
213	64	73	83
214	51	60	70
215	119	138	128
216	485	494	504
217	196	215	205
218	103	112	123
219	570	579	589
220	993	1002	1012
221	414	423	433
222	59	68	79
223	513	522	533
224	873	882	892
225	418	427	437
226	546	555	565
227	208	217	227
228	123	142	132
229	616	625	635
230	439	448	459
231	128	148	138
232	16	25	36
233	741	760	750
234	191	200	210
235	303	312	322
236	455	464	475
237	719	728	739
238	365	374	385
239	457	466	477
240	60	79	69
241	295	304	314
242	137	146	157
243	235	254	244
244	957	966	976
245	36	55	45
246	292	301	312
247	884	903	893
248	466	475	485
249	331	340	351
250	798	807	817
251	111	130	120
252	392	401	411
253	445	464	454
254	283	302	292
255	67	76	86
256	514	533	523
257	342	361	351
258	837	846	856
259	897	916	906
260	120	129	139
261	540	549	559
262	623	632	642
263	476	495	485
264	46	55	66
265	169	178	189
266	810	829	819
267	377	396	386
268	348	357	368
269	118	127	137
270	964	973	983
271	785	794	805
272	799	808	818
273	122	131	141
274	895	914	904
275	295	314	304
276	504	513	523
277	259	279	269
278	819	828	839
279	418	426	437
280	565	574	585
281	822	831	842
282	872	881	891
283	850	858	869
284	154	163	174
285	900	909	920
286	922	931	941
287	93	112	102
288	148	157	167
289	277	286	296
290	45	65	55
291	339	348	359
292	144	153	164
293	102	111	121
294	753	762	772
295	165	185	175
296	915	924	935
297	847	856	867
298	539	548	558
299	706	725	715
300	398	407	417
301	264	283	273
302	308	328	318
303	831	839	850
304	62	71	81
305	1008	1017	7
306	514	534	524
307	798	806	817
308	297	306	316
309	419	428	438
310	193	202	212
311	454	463	474
312	576	596	586
313	227	236	246
314	488	497	507
315	106	125	116
316	647	666	656
317	115	135	125
318	383	392	402
319	412	421	431
320	862	871	882
321	229	248	238
322	393	402	412
323	545	554	564
324	222	231	242
325	316	335	325
326	549	568	558
327	191	210	200
328	92	103	114
329	421	440	430
330	790	809	799
331	739	748	759
332	659	678	668
333	523	543	533
334	1007	1016	8
335	992	1011	1002
336	607	616	626
337	9	28	18
338	456	475	465
339	303	312	322
340	368	387	377
341	621	640	630
342	377	398	388
343	224	233	244
344	599	608	619
345	520	539	529
346	912	931	921
347	122	131	141
348	721	730	740
349	76	85	95
350	956	964	975
351	740	749	759
352	521	530	540
353	818	827	838
354	457	476	466
355	327	336	346
356	87	96	106
357	34	53	43
358	443	462	452
359	476	485	495
360	718	727	737
361	750	759	770
362	950	969	960
363	670	679	689
364	214	223	234
365	223	242	232
366	854	863	873
367	445	454	466
368	128	147	137
369	205	214	224
370	939	958	948
371	835	844	855
372	603	612	623
373	820	839	829
374	639	648	658
375	818	827	837
376	848	857	867
377	292	301	311
378	287	296	306
379	830	839	849
380	569	578	589
381	596	615	605
382	646	655	665
383	769	778	789
384	846	865	855
385	105	113	124
386	133	153	143
387	977	996	986
388	119	138	128
389	701	720	710
390	288	297	307
391	436	455	445
392	92	101	112
393	679	688	698
394	794	803	813
395	720	729	739
396	289	298	309
397	511	530	520
398	600	620	610
399	764	784	774
400	52	71	62
401	908	917	928
402	751	760	771
403	330	349	339
404	482	502	492
405	168	187	177
406	738	747	757
407	65	73	84
408	993	1012	1002
409	422	431	442
410	584	593	603
411	699	718	708
412	240	249	260
413	931	950	940
414	956	965	975
415	828	837	847
416	718	727	737
417	681	690	700
418	366	385	375
419	384	393	404
420	298	307	317
421	683	692	702
422	498	507	517
423	886	905	895
424	310	319	330
425	12	21	32
426	427	436	447
427	113	122	133
428	417	436	426
429	949	968	958
430	439	458	448
431	870	889	879
432	518	537	527
433	300	318	309
434	23	32	43
435	177	186	197
436	399	419	409
437	569	588	578
438	493	513	503
439	703	722	712
440	779	798	788
441	292	301	311
442	708	717	768
443	797	806	816
444	443	452	463
445	978	987	997
446	146	165	155
447	442	451	461
448	736	745	755
449	28	47	37
450	33	42	52
451	987	996	1006
452	422	441	431
453	96	116	106
454	547	566	556
455	803	823	813
456	449	468	458
457	822	831	841
458	150	159	169
459	830	839	849
460	490	509	499
461	554	563	573
462	161	180	170
463	524	533	543
464	661	680	670
465	11	20	31
466	886	894	905
467	799	818	808
468	336	345	355
469	742	761	751
470	954	963	974
471	82	101	91
472	9	17	28
473	917	926	936
474	778	787	798
475	290	310	300
476	314	323	333
477	850	859	870
478	186	206	196
479	935	954	944
480	337	357	347
481	413	422	432
482	225	234	244
483	49	58	68
484	843	863	853
485	830	849	839
486	463	472	483
487	403	422	412
488	813	822	832
489	901	921	911
490	98	107	117
491	647	656	667
492	504	513	523
493	765	784	774
494	640	649	660
495	890	909	899
496	130	139	149
497	474	483	494
498	122	141	131
499	445	453	464
500	17	36	26
501	778	787	798
502	296	305	315
503	691	700	711
504	335	354	344
505	726	745	735
506	625	644	634
507	264	273	283
508	848	856	867
509	604	623	614
510	18	27	38
511	978	987	997
512	194	213	203
513	276	295	285
514	354	363	374
515	6	26	16
516	728	737	748
517	417	426	436
518	122	141	131
519	591	600	611
520	661	670	681
521	11	30	20
522	258	277	267
523	552	561	571
524	846	855	865
525	363	371	382
526	860	879	869
527	256	265	275
528	141	150	160
529	697	706	716
530	994	1003	1013
531	55	64	74
532	905	914	924
533	111	120	131
534	774	783	793
535	839	848	858
536	314	323	333
537	35	54	44
538	855	874	864
539	487	496	506
540	198	207	217
541	903	912	922
542	435	454	445
543	359	368	379
544	970	978	989
545	601	610	620
546	715	734	724
547	105	114	124
548	199	208	219
549	593	602	613
550	337	346	356
551	418	426	437
552	898	907	918
553	90	99	109
554	736	745	756
555	359	368	379
556	425	434	444
557	484	493	503
558	676	695	685
559	900	909	920
560	999	1008	1018
561	449	468	458
562	210	219	229
563	943	962	952
564	985	994	1004
565	89	98	108
566	912	931	921
567	92	101	111
568	461	470	480
569	611	620	631
570	17	26	36
571	722	731	742
572	792	811	801
573	680	689	699
574	996	1005	1015
575	715	724	735
576	94	103	113
577	451	470	460
578	229	248	238
579	703	712	722
580	90	99	109
581	108	117	127
582	288	297	307
583	623	632	642
