

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	47	58	23
1	258	247	271
2	775	764	788
3	358	346	370
4	729	707	719
5	981	992	1005
6	411	389	401
7	433	422	412
8	263	252	241
9	1016	10	21
10	773	794	784
11	362	373	386
12	300	310	289
13	373	351	363
14	749	760	773
15	611	633	623
16	404	416	428
17	744	755	733
18	885	874	863
19	431	421	410
20	561	572	550
21	177	166	190
22	945	956	934
23	91	80	104
24	553	530	543
25	1155	1164	1146
26	786	774	799
27	178	200	190
28	462	451	475
29	862	840	852
30	521	532	510
31	337	315	327
32	988	977	966
33	749	772	762
34	718	695	707
35	236	258	247
36	428	416	440
37	278	255	267
38	693	682	706
39	492	481	471
40	815	836	826
41	421	440	430
42	62	51	75
43	742	721	732
44	312	301	324
45	815	826	805
46	611	600	624
47	688	677	700
48	467	456	446
49	890	868	879
50	170	159	148
51	680	658	670
52	341	352	331
53	18	1012	7
54	732	720	745
55	685	707	696
56	527	537	515
57	595	606	584
58	18	1012	7
59	589	599	578
60	478	499	489
61	984	973	961
62	231	208	220
63	269	280	292
64	886	865	876
65	694	683	707
66	467	455	479
67	120	131	144
68	965	943	955
69	469	479	458
70	360	372	384
71	489	480	470
72	276	265	289
73	336	348	360
74	203	181	193
75	138	116	128
76	673	651	663
77	293	282	272
78	859	848	872
79	187	165	177
80	127	105	117
81	353	330	342
82	146	135	124
83	454	477	466
84	667	645	657
85	35	55	45
86	950	938	962
87	471	448	460
88	588	611	601
89	652	663	641
90	665	676	654
91	795	784	773
92	559	536	548
93	55	66	44
94	638	650	627
95	695	676	685
96	248	226	238
97	742	754	767
98	293	283	271
99	425	414	403
100	313	302	291
101	844	867	857
102	226	237	215
103	94	83	107
104	642	629	655
105	191	201	179
106	966	976	954
107	69	58	46
108	329	320	311
109	877	899	889
110	579	589	567
111	127	104	117
112	951	939	964
113	229	240	218
114	94	105	83
115	471	460	484
116	107	96	85
117	309	332	322
118	858	869	882
119	1019	1009	998
120	81	103	93
121	267	245	257
122	103	81	92
123	147	124	137
124	399	389	378
125	721	710	699
126	142	131	120
127	235	258	248
128	75	85	63
129	209	186	198
130	337	359	349
131	904	916	928
132	579	590	603
133	815	804	794
134	480	458	470
135	939	928	918
136	962	951	940
137	1011	21	11
138	571	581	560
139	169	158	182
140	384	373	362
141	723	701	712
142	669	647	659
143	548	559	572
144	480	458	469
145	695	706	684
146	508	520	532
147	511	522	500
148	391	379	404
149	596	585	574
150	854	842	866
151	814	803	793
152	893	905	916
153	758	747	771
154	682	660	671
155	765	777	789
156	279	268	257
157	350	338	363
158	180	193	169
159	616	627	605
160	329	351	341
161	92	103	81
162	832	820	844
163	224	235	214
164	268	279	257
165	234	223	247
166	388	398	377
167	568	579	592
168	343	321	333
169	321	332	310
170	588	597	578
171	752	740	767
172	741	729	753
173	302	291	280
174	268	279	257
175	674	696	686
176	817	829	841
177	465	454	443
178	51	62	75
179	242	254	266
180	11	33	23
181	54	32	44
182	757	768	746
183	290	279	269
184	643	623	633
185	405	393	418
186	757	768	781
187	671	660	649
188	535	557	547
189	696	707	720
190	312	323	301
191	135	146	124
192	8	1014	1028
193	333	344	322
194	659	637	649
195	706	695	719
196	258	247	236
197	330	320	340
198	504	515	493
199	105	117	130
200	505	483	495
201	158	146	171
202	610	599	588
203	788	808	798
204	572	581	563
205	567	556	580
206	592	581	570
207	7	19	32
208	962	972	950
209	62	39	51
210	781	759	771
211	913	935	925
212	122	99	112
213	549	560	538
214	363	341	353
215	530	520	509
216	615	603	628
217	69	81	94
218	800	777	789
219	87	67	77
220	409	390	399
221	679	701	691
222	113	136	126
223	963	972	953
224	506	495	484
225	327	317	305
226	560	548	573
227	417	428	441
228	1007	1017	996
229	902	914	926
230	719	730	708
231	1021	999	1011
232	919	907	931
233	271	293	283
234	449	438	462
235	25	36	15
236	811	789	801
237	28	39	16
238	560	571	549
239	716	725	707
240	231	220	209
241	444	466	456
242	98	86	111
243	35	26	46
244	163	151	175
245	631	654	644
246	463	452	441
247	118	129	107
248	528	517	506
249	434	457	446
250	643	620	632
251	827	849	839
252	377	367	356
253	781	791	770
254	441	430	419
255	546	536	527
256	417	428	441
257	877	855	866
258	719	730	708
259	761	772	784
260	720	743	733
261	437	413	426
262	30	41	19
263	340	352	365
264	17	39	29
265	915	925	903
266	612	601	590
267	284	273	297
268	613	593	603
269	335	313	325
270	598	587	611
271	93	104	117
272	111	100	89
273	713	701	725
274	806	795	819
275	602	613	591
276	815	804	793
277	247	225	237
278	456	445	469
279	160	149	138
280	114	92	104
281	46	57	35
282	313	302	290
283	653	642	666
284	419	396	408
285	352	341	365
286	600	589	578
287	834	856	846
288	1017	1005	11
289	851	862	875
290	192	203	216
291	2317	2328	2339
292	573	550	562
293	24	35	13
294	196	185	175
295	1008	995	1021
296	440	418	430
297	320	331	344
298	427	449	439
299	27	38	16
300	916	927	906
301	581	604	593
302	307	298	318
303	78	69	88
304	754	743	732
305	664	642	653
306	663	672	650
307	11	1019	23
308	568	546	558
309	913	925	937
310	401	379	391
311	913	891	902
312	942	953	966
313	946	924	936
314	542	531	555
315	7	19	1033
316	353	342	366
317	549	561	574
318	401	412	390
319	974	985	963
320	441	429	453
321	597	608	586
322	43	54	32
323	6	1012	18
324	530	510	520
325	446	436	425
326	816	807	797
327	81	93	106
328	773	784	796
329	436	413	425
330	756	766	745
331	499	488	478
332	743	721	733
333	313	324	303
334	863	852	841
335	744	734	723
336	686	697	676
337	680	669	693
338	786	797	809
339	390	368	379
340	270	281	260
341	121	99	111
342	140	151	129
343	941	919	930
344	857	868	881
345	318	307	296
346	33	22	11
347	938	926	950
348	620	609	633
349	668	680	693
350	370	359	348
351	314	303	292
352	628	639	616
353	447	425	437
354	432	420	445
355	28	40	53
356	556	545	534
357	241	250	231
358	596	608	621
359	647	627	637
360	661	672	650
361	140	151	129
362	927	907	917
363	304	327	316
364	639	629	651
365	21	32	45
366	812	825	838
367	169	149	159
368	747	769	759
369	864	886	876
370	900	911	924
371	356	366	345
372	634	623	612
373	887	898	911
374	713	702	691
375	774	794	784
376	977	997	987
377	594	570	583
378	747	724	737
379	995	984	973
380	731	709	721
381	32	43	56
382	29	40	53
383	746	736	757
384	569	559	547
385	2110	2074	2099
386	286	275	264
387	979	968	956
388	983	960	973
389	705	694	682
390	32	21	45
391	275	251	265
392	145	156	169
393	211	220	201
394	841	820	831
395	395	415	405
396	895	885	876
397	657	665	647
398	748	760	772
399	341	364	353
400	533	522	512
401	34	23	13
402	986	976	965
403	157	168	181
404	94	106	119
405	58	47	36
406	13	32	22
407	1021	1011	999
408	901	888	914
409	430	441	418
410	560	572	585
411	804	792	817
412	188	176	201
413	947	936	960
414	108	120	132
415	310	287	299
416	498	520	509
417	865	854	843
418	31	20	9
419	658	646	671
420	759	747	772
421	644	620	633
422	516	527	505
423	605	616	594
424	698	676	688
425	430	441	454
426	388	410	400
427	636	625	614
428	219	208	232
429	577	555	567
430	715	704	694
431	206	195	184
