

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	9	36	26
1	2304	2295	2316
2	3453	3443	3434
3	4426	4435	4446
4	2596	2605	2586
5	2690	2681	2672
6	2130	2111	2120
7	101	110	121
8	3540	3517	3530
9	807	797	788
10	1885	1904	1894
11	28	9	18
12	408	399	389
13	198	218	208
14	24	15	6
15	20	29	10
16	16	7	26
17	2247	2266	2256
18	1475	1465	1456
19	886	877	867
20	1827	1836	1818
21	1991	1981	2002
22	2243	2233	2253
23	2214	2205	2225
24	6	15	26
25	11	20	30
26	2166	2157	2177
27	3293	3274	3283
28	350	341	360
29	631	651	641
30	996	987	977
31	1023	1042	1032
32	25	15	6
33	19	28	10
34	3799	3779	3789
35	28	9	19
36	24	14	5
37	10	29	19
38	393	384	374
39	22	31	12
40	2859	2868	2878
41	13	32	22
42	3201	3220	3210
43	1196	1187	1177
44	30	21	11
45	292	283	273
46	3846	3827	3837
47	18	9	28
48	9	28	18
49	16	25	7
50	2439	2429	2420
51	215	206	196
52	2263	2253	2244
53	177	157	167
54	8	16	27
55	18	9	28
56	459	439	449
57	2957	2966	2977
58	2584	2574	2594
59	11	30	20
60	3431	3456	3446
61	597	588	578
62	26	17	7
63	484	475	466
64	1286	1267	1276
65	1807	1788	1797
66	1271	1261	1252
67	5	14	26
68	16	25	6
69	4630	4621	4641
70	17	26	8
71	3392	3373	3382
72	2461	2441	2451
73	395	386	406
74	8	17	27
75	1161	1170	1184
76	2741	2722	2731
77	16	25	7
78	3360	3350	3370
79	15	24	6
80	558	548	539
81	30	21	11
82	720	700	710
83	994	984	975
84	30	21	11
85	9	28	18
86	9	18	28
87	6	25	15
88	1939	1929	1949
89	2411	2401	2423
90	3182	3201	3191
91	373	353	363
92	4276	4256	4266
93	15	6	25
94	26	17	8
95	1237	1256	1246
96	25	16	6
97	1012	1003	994
98	4	14	27
99	4971	4962	4953
100	5	24	14
101	1784	1774	1765
102	30	10	20
103	2174	2193	2183
104	7	16	27
105	1544	1563	1554
106	30	21	11
107	5	25	15
108	307	316	298
109	2766	2785	2775
110	4550	4559	4570
111	55	74	64
112	450	441	431
113	1522	1531	1542
114	48	57	38
115	19	28	10
116	22	31	12
117	5364	5374	5386
118	2030	2010	2021
119	1512	1524	1536
120	2289	2309	2299
121	18	26	8
122	966	975	957
123	5870	5860	5880
124	230	239	221
125	1993	2002	2013
126	10	19	31
127	27	8	17
128	2804	2813	2795
129	4391	4400	4381
130	4098	4089	4079
131	1657	1647	1638
132	1752	1743	1762
133	5	24	14
134	1756	1747	1737
135	63	54	45
136	30	11	20
137	1917	1908	1898
138	2144	2153	2135
139	2708	2699	2718
140	2722	2742	2732
141	280	300	290
142	3331	3350	3340
143	510	530	520
144	222	242	232
145	25	6	15
146	1696	1705	1687
147	2737	2746	2728
148	1951	1971	1961
149	1044	1035	1054
150	19	28	10
151	621	629	611
152	1104	1083	1093
153	908	917	928
154	5103	5112	5094
155	3468	3488	3478
156	17	8	28
157	2588	2569	2578
158	29	20	10
159	15	6	25
160	10	30	20
161	24	15	6
162	398	418	408
163	3525	3534	3516
164	28	19	10
165	33	53	42
166	2817	2797	2807
167	5585	5575	5566
168	1427	1436	1447
169	6	15	25
170	842	833	852
171	7	16	27
172	779	770	760
173	3258	3239	3248
174	19	28	9
175	2373	2382	2364
176	175	166	185
177	520	501	510
178	2352	2332	2342
179	26	7	16
180	3042	3051	3063
181	25	6	15
182	27	17	8
183	3618	3598	3608
184	325	306	315
185	16	25	6
186	1073	1082	1093
187	21	11	31
188	3141	3121	3131
189	483	474	465
190	10	29	20
191	599	580	589
192	21	11	30
193	26	17	8
194	7	26	16
195	21	11	31
196	2217	2236	2226
197	1563	1553	1573
198	1595	1615	1605
199	935	926	945
200	1595	1604	1615
201	394	413	403
202	5	24	14
203	29	9	19
204	2656	2646	2666
205	2885	2894	2875
206	24	15	6
207	17	7	27
208	2469	2478	2460
209	976	995	985
210	1268	1287	1277
211	29	19	10
212	5	24	14
213	1301	1280	1292
214	5	14	25
215	885	875	895
216	30	21	11
217	146	126	136
218	1625	1615	1606
219	123	113	134
220	305	295	286
221	9	18	28
222	12	38	28
223	10	19	30
224	18	9	28
225	2099	2118	2108
226	8	28	18
227	636	616	626
228	2074	2064	2084
229	492	501	511
230	7	16	26
231	12	31	21
232	31	11	21
233	19	9	28
234	1154	1173	1163
235	2476	2454	2466
236	24	5	14
237	19	10	29
238	11	20	30
239	30	10	20
240	3742	3761	3751
241	16	25	6
242	2285	2294	2275
243	21	30	11
244	1876	1896	1886
245	2577	2558	2567
246	16	7	26
247	1443	1423	1433
248	3168	3177	3158
249	2867	2858	2848
250	17	26	8
251	7	26	16
252	3212	3221	3232
253	20	10	30
254	5349	5368	5359
255	3100	3109	3091
256	5	25	15
257	867	886	877
258	783	763	773
259	8	27	18
260	389	399	412
261	536	545	527
262	17	8	27
263	864	855	874
264	1876	1857	1866
265	2458	2438	2448
266	19	10	29
267	2617	2637	2627
268	16	25	7
269	2704	2694	2685
270	2987	2960	2977
271	980	989	970
272	20	11	30
273	29	20	11
274	2459	2450	2440
275	5712	5721	5703
276	30	20	11
277	15	6	25
278	6	15	26
279	1537	1528	1518
280	20	10	30
281	2737	2746	2756
282	1847	1838	1858
283	280	289	300
284	29	10	19
285	3148	3157	3168
286	3959	3950	3940
287	19	10	29
288	576	585	567
289	16	7	26
290	3028	3048	3038
291	466	456	476
292	1226	1216	1236
293	1699	1708	1690
294	73	82	63
295	2891	2900	2910
296	5203	5194	5184
297	21	11	31
298	19	10	29
299	281	262	271
300	1360	1379	1369
301	27	8	17
302	3641	3632	3652
303	29	20	10
304	2888	2897	2878
305	2249	2229	2239
306	1160	1151	1141
307	568	577	588
308	18	9	28
309	136	145	156
310	21	30	12
311	414	423	405
312	943	952	962
313	1647	1638	1658
314	31	21	12
315	6	26	16
316	2660	2680	2670
317	2620	2611	2601
318	10	29	19
319	27	8	17
320	590	581	601
321	970	961	951
322	15	24	36
323	817	797	807
324	68	49	58
325	5	24	14
326	794	813	803
327	1736	1727	1717
328	2567	2586	2576
329	1308	1288	1298
330	2062	2053	2073
331	18	9	28
332	3343	3351	3362
333	2089	2098	2108
334	3222	3231	3212
335	844	853	835
336	2034	2043	2054
337	1709	1718	1699
338	1960	1969	1980
339	19	10	29
340	1408	1428	1418
341	3489	3479	3470
342	4054	4063	4074
343	8	27	18
344	289	279	300
345	471	480	461
346	553	562	544
347	2348	2367	2357
348	4823	4832	4814
349	7	26	16
350	22	31	12
351	2108	2088	2098
352	1894	1903	1885
353	2823	2803	2813
354	8	17	27
355	14	5	24
356	2884	2865	2874
357	8	27	17
358	1597	1607	1617
359	30	20	11
360	3254	3245	3264
361	324	305	314
362	8	27	17
363	51	42	33
364	2719	2710	2700
365	970	959	982
366	19	10	30
367	3282	3291	3302
368	8	27	17
369	7	26	16
370	1812	1832	1822
371	261	242	251
372	1621	1612	1632
373	5302	5311	5293
374	2030	2039	2021
375	25	6	15
376	3578	3559	3568
377	2660	2640	2650
378	28	18	9
379	8	17	28
380	589	580	599
381	3854	3863	3873
382	29	19	10
383	5	14	25
384	676	696	686
385	2396	2386	2406
386	28	9	18
387	2138	2129	2120
388	1374	1383	1393
389	29	9	19
390	1198	1207	1188
391	3082	3101	3091
392	17	26	7
393	19	10	29
394	5116	5125	5136
395	3512	3521	3502
396	26	7	16
397	802	793	784
398	2491	2510	2500
399	5	14	24
400	1555	1564	1545
401	19	28	9
402	18	8	28
403	474	483	465
404	16	25	7
405	20	29	11
406	4605	4614	4596
407	413	393	403
408	903	893	884
409	1028	1019	1009
410	5	24	14
411	1017	1008	998
412	715	696	705
413	2480	2461	2470
414	3121	3102	3111
415	1758	1739	1748
416	832	823	813
417	1621	1601	1611
418	27	8	17
419	186	199	176
420	2014	2023	2005
421	710	719	729
422	1965	1974	1984
423	3750	3771	3761
424	18	8	28
425	606	625	615
426	26	17	7
427	16	7	26
428	3771	3791	3781
429	20	10	30
430	2245	2226	2235
431	14	5	24
432	19	27	9
433	3921	3912	3903
434	156	137	146
435	5073	5092	5082
436	3426	3435	3416
437	194	185	204
438	3853	3844	3864
439	2023	2032	2013
440	502	492	483
441	227	217	237
442	30	20	11
443	4235	4255	4245
444	726	735	745
445	3000	3009	2991
446	15	24	6
447	2126	2135	2146
448	2368	2349	2358
449	3483	3492	3473
450	4516	4506	4526
451	20	10	30
452	18	9	28
453	356	365	376
454	108	89	98
455	4305	4286	4295
456	25	5	15
457	2387	2396	2378
458	4899	4908	4889
459	3785	3794	3776
460	316	325	335
461	2292	2273	2282
462	2195	2204	2185
463	31	11	21
464	1689	1708	1699
465	4370	4361	4351
466	14	5	24
467	4078	4098	4088
468	2864	2854	2874
469	70	60	50
470	25	16	6
471	1650	1659	1641
472	2410	2429	2419
473	2071	2080	2061
474	4454	4463	4474
475	19	9	29
476	1655	1646	1665
477	26	7	16
478	2695	2704	2685
479	1974	1982	1964
